STT,ITEM,VENDOR,DESCR,STATUS
251,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),NGUNG KINH DOANH
268,3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
271,3140316,14530,110-Co so Nguyen Van Sau,NGUNG KINH DOANH
285,3390942,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
286,3390945,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
288,3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
289,3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
294,3525066,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
299,3282741,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
302,3535758,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
304,3137587,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
305,3137588,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
306,3137589,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
320,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
321,3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
322,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
323,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
334,3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
335,3513553,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
336,3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
337,3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
366,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,NGUNG KINH DOANH
367,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,NGUNG KINH DOANH
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
385,3314078,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
386,3314147,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
387,3452209,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
388,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
389,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
390,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
391,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
392,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
393,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
406,3184818,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
407,3184823,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
408,3184824,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
413,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
416,3160021,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
417,3160022,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
418,3160023,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
419,3160024,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
436,3333828,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
437,3333830,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
438,3333833,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
439,3333834,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
440,3333835,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
441,3372212,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
442,3372213,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
443,3372214,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
461,3530731,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
462,3530732,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
463,3530733,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
464,3530734,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
471,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
472,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
473,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
483,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
484,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
497,3356098,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
498,3356101,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
511,3192268,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
528,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
532,3277949,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
533,3277950,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
548,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,NGUNG KINH DOANH
565,3541455,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
590,3553316,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
597,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
598,3271310,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
600,3320019,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
613,3535759,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
614,3535760,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
615,3535761,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
624,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
633,3384314,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
638,3437745,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
640,3437748,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
641,3437749,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
642,3437750,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
673,3525067,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
674,3525068,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
675,3525069,21076,110-Cong Ty TNHH SALACOS -NR,NGUNG KINH DOANH
676,3525114,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
677,3525115,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
678,3525116,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,NGUNG KINH DOANH
680,3527979,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,NGUNG KINH DOANH
681,3527980,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
694,3282513,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
696,3282735,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
697,3282736,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
698,3282737,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
706,3466392,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
707,3467305,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
711,3217101,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
712,3217105,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
716,3110820,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
717,3110821,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
724,3463138,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
725,3463139,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
726,3463140,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
727,3463141,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
728,3463142,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
729,3463143,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
730,3463144,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
731,3463145,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
746,3422432,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,NGUNG KINH DOANH
756,3007093,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
772,3296686,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
780,3343735,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
785,3545291,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
806,3537640,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,NGUNG KINH DOANH
817,3538788,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
818,3538789,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
821,3540979,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
822,3540980,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,NGUNG KINH DOANH
831,3541456,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
832,3541457,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
833,3541458,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
