STT,ITEM,VENDOR,DESCR,STATUS,NH
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,N,DD
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
219,3383606,13468,100-CTY TNHH SAMRAN-NR,Y,DD
220,3383607,13468,100-CTY TNHH SAMRAN-NR,Y,DD
221,3383608,13468,100-CTY TNHH SAMRAN-NR,Y,DD
222,3383609,13468,100-CTY TNHH SAMRAN-NR,Y,DD
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,Y,DD
229,3012794,12989,100-CTY TNHH SAMRAN,Y,DD
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
236,3253175,12989,100-CTY TNHH SAMRAN,Y,DD
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,N,DD
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,N,DD
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,Y,DD
266,3350607,16964,100-CTy TNHH Tan Hop Thanh,N,DD
267,3350608,16964,100-CTy TNHH Tan Hop Thanh,N,DD
269,3449943,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
273,3181800,13979,100-CTy TNHH Thuong Mai L.H,N,DD
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,N,DD
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,N,DD
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
290,3494100,13468,100-CTY TNHH SAMRAN-NR,Y,DD
291,3494101,13468,100-CTY TNHH SAMRAN-NR,Y,DD
292,3494102,13468,100-CTY TNHH SAMRAN-NR,Y,DD
293,3494103,13468,100-CTY TNHH SAMRAN-NR,Y,DD
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
300,3449947,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
307,3387567,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
308,3387568,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
309,3387569,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,N,DD
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,N,DD
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,N,DD
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,N,DD
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,N,DD
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
328,3419926,11773,110-CTy CP SX Nhua Duy Tan,N,DD
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
340,3523181,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
341,3523363,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
342,3523364,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
343,3523365,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
344,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,Y,DD
345,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,Y,DD
346,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,Y,DD
356,3440906,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
364,3521073,11773,110-CTy CP SX Nhua Duy Tan,N,DD
365,3521074,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
398,3374925,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
399,3374926,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
