322,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,
323,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,KHONG KINH DOANH,
334,3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,
335,3513553,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,KHONG KINH DOANH,
336,3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,KHONG KINH DOANH,
337,3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,KHONG KINH DOANH,
366,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,
367,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,DANG KINH DOANH,
385,3314078,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,
386,3314147,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
387,3452209,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
388,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
389,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
390,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
391,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
392,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
393,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
406,3184818,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
407,3184823,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
408,3184824,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
413,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
416,3160021,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
417,3160022,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
418,3160023,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
419,3160024,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,KHONG KINH DOANH,
436,3333828,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
437,3333830,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
438,3333833,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
439,3333834,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
440,3333835,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
441,3372212,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
442,3372213,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
443,3372214,15506,111-Cty Bot giat LIX-NR,KHONG KINH DOANH,
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,
461,3530731,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,
462,3530732,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,
463,3530733,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,
464,3530734,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,
471,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
472,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
473,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
483,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,DANG KINH DOANH,
484,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,DANG KINH DOANH,
497,3356098,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
498,3356101,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
511,3192268,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,
528,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,DANG KINH DOANH,
532,3277949,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
533,3277950,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
548,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH,
565,3541455,15800,110-Cty TNHH 1TV Tri Hoi,KHONG KINH DOANH,
590,3553316,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH,
597,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH,
598,3271310,16760,110-Cua Hang Hue Lam,KHONG KINH DOANH,
600,3320019,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,
613,3535759,21076,110-Cong Ty TNHH SALACOS -NR,DANG KINH DOANH,
