89,3101964,13979,100-CTy TNHH Thuong Mai L.H,KHONG KINH DOANH,DD
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,KHONG KINH DOANH,DD
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,KHONG KINH DOANH,DD
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,DD
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,DD
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
107,3475382,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,KHONG KINH DOANH,DD
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
