STT,ITEM,VENDOR,DESCR,STATUS,,
141,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
142,3368151,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
143,3368152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
144,3382940,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
145,3382941,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
146,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
147,3389078,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
148,3390753,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
149,3390754,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
150,3390755,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
151,3390756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
152,3392947,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
153,3392948,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
154,3392949,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
155,3392950,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
156,3392951,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
157,3400317,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
158,3400318,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
159,3400319,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
160,3403272,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
161,3403438,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
162,3404154,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,k? chén n?p 
163,3404156,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,k? chén n?p 
164,3406717,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
165,3406719,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
166,3406721,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
167,3406723,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
168,3407767,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,h?n ch? ??t
169,3409368,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,bán ch?m
170,3409369,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
171,3412002,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
172,3413586,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
173,3414888,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,h?n ch? ??t
174,3419129,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
175,3419131,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,h?n ch? ??t
176,3419602,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
177,3419603,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
178,3419604,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
179,3419605,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
180,3419926,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
181,3419927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,t? 4 cánh
182,3422249,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
183,3422250,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
184,3422251,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
185,3422252,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,quay rau
186,3422258,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
187,3422259,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
188,3422473,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
189,3422474,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
190,3422581,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
191,3422582,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
192,3422583,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
193,3422584,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
194,3434401,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
195,3434402,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
196,3434403,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
197,3434404,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
198,3434405,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
199,3436535,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
200,3436536,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
201,3437855,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
202,3437856,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
203,3438238,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
204,3438240,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
205,3444318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
206,3446423,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
207,3446427,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
208,3448562,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
209,3448563,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
210,3448564,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
211,3450259,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
212,3450271,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
213,3455364,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
214,3457912,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
215,3457913,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
216,3457914,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
217,3457915,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
218,3458930,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
219,3459152,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
220,3459960,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
221,3460722,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
222,3460723,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
223,3476194,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
