STT,ITEM,VENDOR,DESCR,STATUS
1,3517119,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
2,3517120,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
3,3517121,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
4,3463102,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
5,3541459,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
6,3541460,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
7,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH
8,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,DANG KINH DOANH
9,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,NGUNG KINH DOANH
10,3196366,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
11,3196367,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
12,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH
13,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH
14,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,DANG KINH DOANH
15,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH
16,3545292,16760,110-Cua Hang Hue Lam,DANG KINH DOANH
17,3132145,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
18,3132228,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
19,3386499,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
20,3386500,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
21,3386501,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
22,3386502,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
23,3386503,15506,111-Cty Bot giat LIX-NR,NGUNG KINH DOANH
24,3386504,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
25,3386505,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
26,3386506,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
27,3386507,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
28,3386508,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
29,3386509,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
30,3491227,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
31,3491953,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
32,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
33,3295614,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
34,3497823,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
35,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,DANG KINH DOANH
36,3054635,15790,110-CTy CP HMP My Hao,NGUNG KINH DOANH
37,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
38,3257943,16760,110-Cua Hang Hue Lam,NGUNG KINH DOANH
39,3257947,16760,110-Cua Hang Hue Lam,DANG KINH DOANH
40,3257948,16760,110-Cua Hang Hue Lam,DANG KINH DOANH
41,3314153,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
42,3314154,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
43,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
44,3250058,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
45,3250059,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
46,3284516,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH
47,3285331,15800,110-Cty TNHH 1TV Tri Hoi,NGUNG KINH DOANH
48,3008472,14653,110-DNTN Dai Phat,NGUNG KINH DOANH
49,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
50,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
51,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
52,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
53,3008486,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
