STT,ITEM,VENDOR,DESCR,STATUS
78,3554246,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
79,3448562,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
80,3448564,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
81,3419927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
82,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
83,3520753,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
84,3295021,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
85,3295023,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
86,3412002,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
87,3403438,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
88,3459960,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
89,3556029,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
90,3490336,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
91,3055152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
92,3055153,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
93,3055154,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
94,3055204,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
95,3260451,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
96,3260454,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
97,3314547,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
98,3382940,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
99,3382941,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
100,3031987,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
101,3031988,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
102,3031989,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
103,3032106,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
104,3457912,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
105,3457913,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
106,3457914,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
107,3457915,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
108,3279756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
109,3279757,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
110,3325237,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
111,3444318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
112,3389078,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
113,3493317,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
114,3493318,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
115,3390753,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
116,3390754,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
117,3390755,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
118,3422584,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
119,3392947,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
120,3555039,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
121,3134265,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
122,3479552,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
123,3434401,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
124,3434402,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
125,3434403,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
126,3434405,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
127,3515856,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
128,3419926,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
129,3523181,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
130,3523363,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
131,3523364,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
132,3523365,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
133,3521071,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
134,3521072,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
135,3521073,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
136,3521074,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
137,3480412,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
138,3480413,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
139,3480422,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
140,3403272,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
141,3404154,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
142,3414888,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
143,3508978,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
144,3487359,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
145,3487361,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
146,3487363,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
147,3487364,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
148,3487674,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
149,3288346,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
150,3459152,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
151,3513945,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
152,3513947,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
153,3513972,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
154,3524413,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
155,3524414,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
156,3524415,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
157,3524416,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
158,3312777,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
159,3312779,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
160,3312780,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
161,3458930,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
162,3446423,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
163,3446427,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
164,3081035,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
165,3556424,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
166,3556030,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
167,3392948,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
168,3392949,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
169,3392951,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
170,3455364,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
171,3406717,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
172,3406719,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
173,3406721,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
174,3406723,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
175,3507585,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
176,3419604,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
177,3422258,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
178,3422250,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
179,3519233,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
180,3392950,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
181,3517502,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
182,3390756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
183,3476197,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
184,3011823,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
185,3509235,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
186,3438240,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
187,3436536,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
188,3434404,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
189,3552975,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
190,3368152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
191,3548188,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
192,3548189,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
193,3548191,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
194,3555041,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
195,3448563,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
