STT,ITEM,VENDOR,DESCR,STATUS
650,3519043,20812,100-Cty CP TP ThNhien King Green-NR,DANG KINH DOANH
651,3519044,20812,100-Cty CP TP ThNhien King Green-NR,DANG KINH DOANH
652,3519045,20812,100-Cty CP TP ThNhien King Green-NR,DANG KINH DOANH
679,3525167,20812,100-Cty CP TP ThNhien King Green-NR,DANG KINH DOANH
665,3454990,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
666,3454991,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
667,3454992,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
668,3454993,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
263,3444795,15512,100-Cty CP Uniben-NR,DANG KINH DOANH
534,3278389,16701,100-Cty CPTP Binh Tay-NR,DANG KINH DOANH
535,3278390,16701,100-Cty CPTP Binh Tay-NR,DANG KINH DOANH
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
669,3454994,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
670,3454995,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
671,3454996,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
672,3454997,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
860,3503267,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
224,3488561,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
225,3488562,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
226,3488563,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
357,3440951,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
358,3440952,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
359,3440953,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
360,3440955,17259,100-Cty TNHH Le Trung Thien-NR,DANG KINH DOANH
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
260,3442900,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
501,3459106,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
773,3341299,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
61,3055280,12989,100-CTY TNHH SAMRAN,
229,3012794,12989,100-CTY TNHH SAMRAN,
236,3253175,12989,100-CTY TNHH SAMRAN,
420,3382457,12989,100-CTY TNHH SAMRAN,
425,3487366,12989,100-CTY TNHH SAMRAN,
431,3223203,12989,100-CTY TNHH SAMRAN,
656,3307987,12989,100-CTY TNHH SAMRAN,
688,3246587,12989,100-CTY TNHH SAMRAN,
763,3300069,12989,100-CTY TNHH SAMRAN,
219,3383606,13468,100-CTY TNHH SAMRAN-NR,
220,3383607,13468,100-CTY TNHH SAMRAN-NR,
221,3383608,13468,100-CTY TNHH SAMRAN-NR,
222,3383609,13468,100-CTY TNHH SAMRAN-NR,
