STT,ITEM,VENDOR,DESCR,STATUS
796,3201689,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH
797,3205668,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH
851,3199550,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH
856,3495684,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH
857,3502829,11119,110-Cty TNHH Lotte Viet Nam,NGUNG KINH DOANH
158,3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,DANG KINH DOANH
159,3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,DANG KINH DOANH
189,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,NGUNG KINH DOANH
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
485,3040978,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
486,3040979,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
487,3040982,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
488,3040983,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
489,3040988,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH
70,3063378,12015,130-CTY TNHH TM&CBTP Tien Du,NGUNG KINH DOANH
429,3004519,12015,130-CTY TNHH TM&CBTP Tien Du,DANG KINH DOANH
430,3004551,12015,130-CTY TNHH TM&CBTP Tien Du,DANG KINH DOANH
257,3442428,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
258,3442429,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
259,3442481,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
277,3493351,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
278,3493352,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
287,3481810,12320,111-Cty TNHH MTV TNI,DANG KINH DOANH
353,3440244,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
354,3440249,12320,111-Cty TNHH MTV TNI,DANG KINH DOANH
355,3440252,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
506,3468909,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
557,3413710,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
558,3413711,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
559,3413712,12320,111-Cty TNHH MTV TNI,DANG KINH DOANH
715,3451265,12320,111-Cty TNHH MTV TNI,DANG KINH DOANH
740,3422157,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
741,3422161,12320,111-Cty TNHH MTV TNI,NGUNG KINH DOANH
155,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
198,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
216,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
246,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
247,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
248,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
249,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
250,3008486,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
251,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),DANG KINH DOANH
264,3444798,12532,100-Cty CP CNTP Luong Gia-NR,DANG KINH DOANH
265,3444807,12532,100-Cty CP CNTP Luong Gia-NR,DANG KINH DOANH
311,3387928,12547,131-Cty CP Uniben,DANG KINH DOANH
332,3432384,12547,131-Cty CP Uniben,NGUNG KINH DOANH
333,3432386,12547,131-Cty CP Uniben,NGUNG KINH DOANH
518,3494751,12547,131-Cty CP Uniben,DANG KINH DOANH
554,3403158,12547,131-Cty CP Uniben,DANG KINH DOANH
555,3403160,12547,131-Cty CP Uniben,DANG KINH DOANH
556,3403162,12547,131-Cty CP Uniben,DANG KINH DOANH
713,3217598,12547,131-Cty CP Uniben,DANG KINH DOANH
848,3199340,12547,131-Cty CP Uniben,DANG KINH DOANH
849,3199341,12547,131-Cty CP Uniben,DANG KINH DOANH
850,3199342,12547,131-Cty CP Uniben,DANG KINH DOANH
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH
273,3181800,13979,100-CTy TNHH Thuong Mai L.H,DANG KINH DOANH
188,3050100,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
190,3054513,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
191,3054515,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
192,3054516,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
193,3054518,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
194,3054519,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
195,3054520,14337,130-Cty TNHH VINH TIEN,NGUNG KINH DOANH
